Apuesta{nombre=asdfasdfasdasd sadfasdfsa, monto=2653.39, posiciones=,1,3,3,4,5,6,2,8,9,10, puntos=0}
Apuesta{nombre=xRtQnPtHrJmHcNuPxHyUqH gKqNbYwYjTgG, monto=23.441, posiciones=,2,9,-1,5,3,5,7,6,6,9, puntos=0}
Apuesta{nombre=hQmGoHwHdBzGkGoVnFoIhO oWwOlJlMtJtL, monto=99.735, posiciones=,9,10,5,2,9,3,4,3,8,1, puntos=0}
Apuesta{nombre=dScSdXkNgZgEnFuMdLyBpR iGpDlQxQnLrN, monto=44.124, posiciones=,6,6,10,1,7,5,3,6,5,10, puntos=0}
Apuesta{nombre=vDmFhVxXbRgPiNaEgIwNeK uYhEdZiXyAgO, monto=76.222, posiciones=,9,7,9,7,2,4,9,4,4,9, puntos=0}
Apuesta{nombre=lRmOrUbQgPvGgShXoIyZnS qQeDuGaPtJvK, monto=16.577, posiciones=,7,4,10,4,10,10,10,2,5,1, puntos=0}
Apuesta{nombre=pRmSpNhQdFlWlYxOkSnAfP lXjBpSmIvMnE, monto=77.757, posiciones=,4,1,3,5,2,7,610,8,8, puntos=0}
Apuesta{nombre=jMhQyHjPxDxTmTdZqHsUqP mFkJgSkHyHxX, monto=33.991, posiciones=,4,10,5,3,7,7,5,3,6,9, puntos=0}
Apuesta{nombre=zUzEcHjKeOiOoKfHzFhHlH pDwQtChHhXkT, monto=68.753, posiciones=,8,5,6,10,10,1,1,4,7,6, puntos=0}
Apuesta{nombre=sUwXxOeUuVsDxAwRbEiLxQ eIlSzHlMdUoI, monto=41.193, posiciones=,9,5,6,8,4,2,4,10,5,4, puntos=0}
Apuesta{nombre=pDoKxQuFyYcLyAtXjBwTlK vQoKiQrIjIyR, monto=55.47, posiciones=, puntos=0}
Apuesta{nombre=yRdYdHbBnKcGaXuBeXnMyD hZnXzOqDnUuN, monto=2.389, posiciones=,1,2,8,1,2,10,4,9,4,9, puntos=0}
Apuesta{nombre=vNvSxScAiRjPbWxNtMaHsN aNuYvUxTfRpX, monto=2.968, posiciones=,8,4,5,8,10,9,1,9,5,3, puntos=0}
Apuesta{nombre=zNvOiOyTaUtHyBoUsQjHxW jOeWzWqTiEtX, monto=17.329, posiciones=,7,10,8,3,7,10,5,8,10,10, puntos=0}
Apuesta{nombre=mIlWaEhSbPjHqWwWkZhZlI cPiMrTjLaFyX, monto=19.277, posiciones=,10,3,9,8,2,10,9,3,8,8, puntos=0}
Apuesta{nombre=mXrTlJhXfEwNmAbBwDzLtA pLwRjVbRsHiJ, monto=95.307, posiciones=,10,10,2,9,9,7,10,6,10,6, puntos=0}
Apuesta{nombre=yZwYbSlGxNpCmFwOpYgZeT eChIfTaEfHvH, monto=35.694, posiciones=, puntos=0}
Apuesta{nombre=pHvTcUfNbNdAfBwUbQxRuC lVvOuOoVjZeW, monto=40.592, posiciones=,3,6,6,1,9,8,10,7,4,1, puntos=0}
Apuesta{nombre=bTdToPuTpCyMuZcZgYxDgS pDsDzOzJmVkY, monto=33.107, posiciones=,4,2,9,5,10,6,1,2,7,7, puntos=0}
Apuesta{nombre=tGiHcZcClBlXsCyJdPnQtP bCbGnSnAkDsV, monto=34.391, posiciones=, puntos=0}
Apuesta{nombre=lOtAvSuZnAnRaXhYuIjXjZ vCcSoOaKuFhI, monto=2.384, posiciones=, puntos=0}
Apuesta{nombre=wDeOeAlDzAfHkHbIpYwIkP mUtEfAyIzBuS, monto=75.089, posiciones=,8,6,1,4,5,7,5,9,4,7, puntos=0}
Apuesta{nombre=yKmOpZnHdHjFuRlVbMrCbQ wNnDlWxPsDwA, monto=53.508, posiciones=,5,8,4,6,3,1,8,6,7,6, puntos=0}
Apuesta{nombre=gYtGwAiLqCrRzZtVhWiHqI uHjViUyAmPpK, monto=43.035, posiciones=,10,3,8,9,10,2,6,5,2,7, puntos=0}
Apuesta{nombre=Mariano Camposeco, monto=250.39, posiciones=, puntos=0}
Apuesta{nombre=Reg, monto=161.0, posiciones=,5,4,6,8,9,7,1,2,3,15, puntos=0}
Apuesta{nombre=asdfasdfasdasd sadfasdfsa, monto=2653.39, posiciones=,1,3,3,4,5,6,2,8,9,10, puntos=0}
Apuesta{nombre=xRtQnPtHrJmHcNuPxHyUqH gKqNbYwYjTgG, monto=23.441, posiciones=,2,9,-1,5,3,5,7,6,6,9, puntos=0}
Apuesta{nombre=hQmGoHwHdBzGkGoVnFoIhO oWwOlJlMtJtL, monto=99.735, posiciones=,9,10,5,2,9,3,4,3,8,1, puntos=0}
